snapped_at	price	market_cap	total_volume
2013-04-28	103.1862	1144365914	0
2013-04-29	110.3745	1224594040	0
2013-04-30	106.3128	1179936532	0
2013-05-01	88.6291	983973562.6	0
2013-05-02	80.5923	895037935.3	0
2013-05-03	75.1575	834954730.5	0
2013-05-04	86.2273	958267697.6	0
2013-05-05	88.4403	983208503.2	0
2013-05-06	85.5829	951799524.7	0
2013-05-07	83.7734	932031433.4	0
2013-05-08	86.563	963424549.3	0
2013-05-09	85.7885	955160580.2	0
2013-05-10	90.0629	1003134090	0
2013-05-11	89.0164	991885265.5	0
2013-05-12	88.3954	985345733.8	0
2013-05-13	90.8763	1013397972	0
2013-05-14	85.8463	957639084.6	0
2013-05-15	88.2102	984324390.6	0
2013-05-16	91.5815	1022285362	0
2013-05-17	95.8971	1070842159	0
2013-05-18	96.0028	1072363276	0
2013-05-19	95.3844	1065841978	0
2013-05-20	94.9896	1061741505	0
2013-05-21	95.4072	1066755059	0
2013-05-22	95.9877	1073651221	0
2013-05-23	98.11	1097789582	0
2013-05-24	102.9938	1152858525	0
2013-05-25	101.9565	1141673202	0
2013-05-26	103.2175	1156226952	0
2013-05-27	100.3132	1124139814	0
2013-05-28	99.7548	1118266271	0
2013-05-29	102.7794	1152627290	0
2013-05-30	99.6187	1117619705	0
2013-05-31	98.8856	1109845004	0
2013-06-01	99.3948	1116064451	0
2013-06-02	94.3005	1059371817	0
2013-06-03	92.9568	1044778658	0
2013-06-05	93.2043	1048077694	0
2013-06-06	90.9132	1022737134	0
2013-06-07	84.0138	945497606.2	0
2013-06-08	81.6081	918746029.8	0
2013-06-09	75.9808	855739458.9	0
2013-06-10	80.5148	907132071.8	0
2013-06-11	82.2838	927414538.7	0
2013-06-12	81.7592	921877903.2	0
2013-06-13	78	879888750	0
2013-06-14	74.8329	844502372.6	0
2013-06-15	74.8098	844585809.6	0
2013-06-16	74.8707	845589685.8	0
2013-06-17	76.3907	863111782.6	0
2013-06-18	80.3631	908287865.1	0
2013-06-19	80.84	913964914.4	0
2013-06-20	83.571	945129510.3	0
2013-06-21	82.8054	936783700.4	0
2013-06-22	82.3009	931419860.7	0
2013-06-23	82.1938	930579710.2	0
2013-06-24	77.8076	881229425.7	0
2013-06-25	78.7549	892259546.4	0
2013-06-26	79.4311	900242300.8	0
2013-06-27	78.1492	886034138.8	0
2013-06-28	72.6188	823638798.7	0
2013-06-29	72.9441	827638347.6	0
2013-06-30	74.9331	850516911.6	0
2013-07-01	65.0205	738259012.1	0
2013-07-02	67.1281	762462776.5	0
2013-07-03	59.1872	672496803.6	0
2013-07-04	59.7792	679501199.5	0
2013-07-05	51.2984	583320518.7	0
2013-07-06	52.057	592179608.9	0
2013-07-07	56.5087	643084546	0
2013-07-08	58.1136	661620430.4	0
2013-07-09	57.7136	657344918.5	0
2013-07-10	65.9978	752013582	0
2013-07-11	70.2041	800268821.4	0
2013-07-12	67.6164	771085592.5	0
2013-07-13	69.9784	798264602.3	0
2013-07-14	69.1701	789338054.7	0
